client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f1031_37,1,,362,train,0.036923076923076927,3.727077007293701
f1063_36,1,,376,train,0.03254437869822485,3.7312300205230713
f1073_05,1,,231,train,0.04830917874396135,3.7235071659088135
f1102_33,1,,119,train,0.0,4.050262928009033
f1110_03,1,,77,train,0.0,3.91843581199646
f1113_16,1,,336,train,0.029801324503311258,3.8029110431671143
f1119_27,1,,264,train,0.05063291139240506,3.759901762008667
f1197_00,1,,80,train,0.06944444444444445,3.643752098083496
f1211_04,1,,379,train,0.02346041055718475,3.7515945434570312
f1240_01,1,,310,train,0.04659498207885305,3.7476460933685303
f1250_24,1,,233,train,0.019138755980861243,3.7884652614593506
f1256_05,1,,235,train,0.023696682464454975,3.863804340362549
f1273_29,1,,315,train,0.0353356890459364,3.7039811611175537
f1275_19,1,,301,train,0.040740740740740744,3.729353904724121
f1289_06,1,,302,train,0.03690036900369004,3.7473764419555664
f1346_08,1,,170,train,0.0718954248366013,3.58193302154541
f1353_42,1,,141,train,0.07936507936507936,3.458465576171875
f1370_48,1,,249,train,0.044642857142857144,3.6350741386413574
f1380_34,1,,290,train,0.02681992337164751,3.7581968307495117
f1407_18,1,,193,train,0.03468208092485549,3.9521894454956055
f1413_14,1,,284,train,0.03529411764705882,3.7232260704040527
f1446_25,1,,281,train,0.04365079365079365,3.7893052101135254
f1450_34,1,,353,train,0.04100946372239748,3.7424280643463135
f1465_32,1,,269,train,0.04132231404958678,3.7652502059936523
f1478_41,1,,304,train,0.03663003663003663,3.7884199619293213
f1497_28,1,,336,train,0.03642384105960265,3.7389798164367676
f1501_00,1,,161,train,0.05555555555555555,3.587580680847168
f1521_17,1,,148,train,0.06015037593984962,3.6031861305236816
f1567_20,1,,174,train,0.0641025641025641,3.5712873935699463
f1583_41,1,,181,train,0.07407407407407407,3.6217377185821533
f1593_46,1,,148,train,0.06015037593984962,3.555814027786255
f1599_48,1,,114,train,0.058823529411764705,3.59553861618042
f1605_44,1,,89,train,0.1375,3.7017178535461426
f1613_27,1,,173,train,0.07741935483870968,3.6063690185546875
f1620_12,1,,145,train,0.06923076923076923,3.612349510192871
f1640_48,1,,170,train,0.0784313725490196,3.543551206588745
f1648_00,1,,151,train,0.06666666666666667,3.588056802749634
f1667_29,1,,165,train,0.08108108108108109,3.5530638694763184
f1688_24,1,,120,train,0.06481481481481481,3.4782559871673584
f1693_00,1,,166,train,0.0738255033557047,3.6228272914886475
f1702_13,1,,167,train,0.07333333333333333,3.666423797607422
f1740_04,1,,171,train,0.0784313725490196,3.566681146621704
f1780_04,1,,108,train,0.07216494845360824,3.5138039588928223
f1787_36,1,,151,train,0.08148148148148149,3.6106317043304443
f1859_39,1,,108,train,0.12371134020618557,3.1725807189941406
f1860_06,1,,134,train,0.075,3.531874656677246
f1864_10,1,,132,train,0.059322033898305086,3.64566969871521
f1879_44,1,,147,train,0.08333333333333333,3.627307891845703
f1906_16,1,,173,train,0.07741935483870968,3.5448009967803955
f1907_22,1,,166,train,0.08053691275167785,3.577540159225464
f1912_13,1,,169,train,0.07894736842105263,3.619147777557373
f2012_46,1,,166,train,0.08053691275167785,3.5882809162139893
f2018_05,1,,160,train,0.0763888888888889,3.6480581760406494
f2062_39,1,,137,train,0.08130081300813008,3.5720419883728027
f2083_33,1,,159,train,0.09090909090909091,3.582728624343872
f2088_14,1,,171,train,0.0784313725490196,3.657025098800659
f2127_59,1,,164,train,0.08163265306122448,3.638794422149658
f2129_55,1,,178,train,0.075,3.627408266067505
f2175_59,1,,150,train,0.08148148148148149,3.6620779037475586
f2176_64,1,,159,train,0.08391608391608392,3.670006036758423
f2186_55,1,,172,train,0.07142857142857142,3.5935208797454834
f2202_76,1,,139,train,0.064,3.7139225006103516
f2210_96,1,,5,train,0.0,4.055730819702148
f2235_81,1,,5,train,0.0,3.235013484954834
f2261_76,1,,173,train,0.07096774193548387,3.573979616165161
f2287_60,1,,174,train,0.08333333333333333,3.550062417984009
f2288_58,1,,157,train,0.06382978723404255,3.6214632987976074
f2316_50,1,,159,train,0.06993006993006994,3.5938730239868164
